"timesteps","Variabilidade - _step","Variabilidade - _step__MIN","Variabilidade - _step__MAX","Variabilidade - mean_reward_test","Variabilidade - mean_reward_test__MIN","Variabilidade - mean_reward_test__MAX","Sustentabilidade - _step","Sustentabilidade - _step__MIN","Sustentabilidade - _step__MAX","Sustentabilidade - mean_reward_test","Sustentabilidade - mean_reward_test__MIN","Sustentabilidade - mean_reward_test__MAX","Lucro - _step","Lucro - _step__MIN","Lucro - _step__MAX","Lucro - mean_reward_test","Lucro - mean_reward_test__MIN","Lucro - mean_reward_test__MAX"
"83200","167707.5","167697","167712","346.7877299799999","346.78772997999994","346.78772997999994","167707.5","167697","167712","178.29932099000004","178.29932099","178.29932099","167707.5","167697","167712","315.41546199","315.41546199","315.41546199"
"86528","174416.5","174406","174421","338.32909249","338.32909249","338.32909249","174416.5","174406","174421","179.78322981","179.78322981000002","179.78322981000002","174416.5","174406","174421","322.542073","322.54207299999996","322.54207299999996"
"89856","181124.5","181114","181129","349.9049769999999","349.9049769999999","349.9049769999999","181124.5","181114","181129","188.88744586000004","188.88744586","188.88744586","181124.5","181114","181129","329.53073605000003","329.53073605","329.53073605"
"93184","187833.5","187823","187838","354.0508969000001","354.05089690000005","354.05089690000005","187833.5","187823","187838","187.28831501000002","187.28831501000002","187.28831501000002","187833.5","187823","187838","340.65982777000005","340.65982777000005","340.65982777000005"
"96512","194541.5","194531","194546","382.23418520999996","382.23418521","382.23418521","194541.5","194531","194546","199.29939610000002","199.29939610000005","199.29939610000005","194541.5","194531","194546","372.2112003","372.2112003","372.2112003"
"99840","201250.5","201240","201255","372.26904980999996","372.2690498099999","372.2690498099999","201250.5","201240","201255","192.84544153","192.84544153","192.84544153","201250.5","201240","201255","374.5786007800001","374.57860078000004","374.57860078000004"
"103168","207959.5","207949","207964","358.7785290799998","358.7785290799999","358.7785290799999","207959.5","207949","207964","209.67860102000006","209.67860102000003","209.67860102000003","207959.5","207949","207964","370.07434421000005","370.07434421","370.07434421"
"106496","214667.5","214657","214672","356.7442805300001","356.74428053","356.74428053","214667.5","214657","214672","223.20810691999992","223.20810691999998","223.20810691999998","214667.5","214657","214672","357.36134701","357.36134701000003","357.36134701000003"
"109824","221376.5","221366","221381","374.86943534000005","374.86943534","374.86943534","221376.5","221366","221381","240.94993058999995","240.94993058999998","240.94993058999998","221376.5","221366","221381","370.61391813999995","370.61391814","370.61391814"
"113152","228084.5","228074","228089","379.99746094999995","379.99746094999995","379.99746094999995","228084.5","228074","228089","230.06960936000002","230.06960936000004","230.06960936000004","228084.5","228074","228089","392.1488840199999","392.1488840199999","392.1488840199999"
"116480","234793.5","234783","234798","362.19289595999993","362.19289595999993","362.19289595999993","234793.5","234783","234798","228.48239805999998","228.48239806","228.48239806","234793.5","234783","234798","397.4820141300001","397.4820141300001","397.4820141300001"
"119808","241502.5","241492","241507","351.0792019599999","351.0792019599999","351.0792019599999","241502.5","241492","241507","214.54078477999997","214.54078477999997","214.54078477999997","241502.5","241492","241507","393.3062321900001","393.30623219000006","393.30623219000006"
"123136","248210.5","248200","248215","375.9975114899999","375.99751148999997","375.99751148999997","248210.5","248200","248215","227.80532814000003","227.80532814000003","227.80532814000003","248210.5","248200","248215","380.40454326","380.40454325999997","380.40454325999997"
"126464","254919.5","254909","254924","384.97504440000006","384.97504440000006","384.97504440000006","254919.5","254909","254924","224.7933232","224.7933232","224.7933232","254919.5","254909","254924","389.48227872","389.48227871999995","389.48227871999995"
"129792","261628.5","261618","261633","398.66870875999996","398.66870876","398.66870876","261628.5","261618","261633","227.06218929000005","227.06218929000002","227.06218929000002","261628.5","261618","261633","411.59289780000006","411.5928978","411.5928978"
